States,Years,Quarter,RegisteredUsers,Districts,AppOpens
andaman-&-nicobar-islands,2018,1,632,north and middle andaman district,0
andaman-&-nicobar-islands,2018,1,5846,south andaman district,0
andaman-&-nicobar-islands,2018,1,262,nicobars district,0
andaman-&-nicobar-islands,2018,2,911,north and middle andaman district,0
andaman-&-nicobar-islands,2018,2,8143,south andaman district,0
andaman-&-nicobar-islands,2018,2,351,nicobars district,0
andaman-&-nicobar-islands,2018,3,1208,north and middle andaman district,0
andaman-&-nicobar-islands,2018,3,10474,south andaman district,0
andaman-&-nicobar-islands,2018,3,467,nicobars district,0
andaman-&-nicobar-islands,2018,4,1553,north and middle andaman district,0
andaman-&-nicobar-islands,2018,4,13133,south andaman district,0
andaman-&-nicobar-islands,2018,4,536,nicobars district,0
andaman-&-nicobar-islands,2019,1,2013,north and middle andaman district,0
andaman-&-nicobar-islands,2019,1,15961,south andaman district,0
andaman-&-nicobar-islands,2019,1,622,nicobars district,0
andaman-&-nicobar-islands,2019,2,2417,north and middle andaman district,6118
andaman-&-nicobar-islands,2019,2,18621,south andaman district,43569
andaman-&-nicobar-islands,2019,2,693,nicobars district,2953
andaman-&-nicobar-islands,2019,3,2662,north and middle andaman district,22064
andaman-&-nicobar-islands,2019,3,20518,south andaman district,138190
andaman-&-nicobar-islands,2019,3,751,nicobars district,10853
andaman-&-nicobar-islands,2019,4,2955,north and middle andaman district,26253
andaman-&-nicobar-islands,2019,4,22202,south andaman district,139646
andaman-&-nicobar-islands,2019,4,803,nicobars district,11113
andaman-&-nicobar-islands,2020,1,3315,north and middle andaman district,30444
andaman-&-nicobar-islands,2020,1,24174,south andaman district,151529
andaman-&-nicobar-islands,2020,1,879,nicobars district,11613
andaman-&-nicobar-islands,2020,2,4100,north and middle andaman district,56992
andaman-&-nicobar-islands,2020,2,27626,south andaman district,231071
andaman-&-nicobar-islands,2020,2,984,nicobars district,17009
andaman-&-nicobar-islands,2020,3,5355,north and middle andaman district,76553
andaman-&-nicobar-islands,2020,3,34833,south andaman district,417785
andaman-&-nicobar-islands,2020,3,1147,nicobars district,21227
andaman-&-nicobar-islands,2020,4,7076,north and middle andaman district,125915
andaman-&-nicobar-islands,2020,4,43908,south andaman district,725321
andaman-&-nicobar-islands,2020,4,1412,nicobars district,35972
andaman-&-nicobar-islands,2021,1,7833,north and middle andaman district,121680
