States,Years,Quarter,Transaction_Amount,Districts,Transaction_Count
andaman-&-nicobar-islands,2018,1,931663.0770939873,north and middle andaman district,442
andaman-&-nicobar-islands,2018,1,12560249.34366581,south andaman district,5688
andaman-&-nicobar-islands,2018,1,1139848.801225994,nicobars district,528
andaman-&-nicobar-islands,2018,2,1317863.0834906558,north and middle andaman district,825
andaman-&-nicobar-islands,2018,2,23948235.51634325,south andaman district,9395
andaman-&-nicobar-islands,2018,2,3072436.9081196385,nicobars district,1120
andaman-&-nicobar-islands,2018,3,4901529.518499676,north and middle andaman district,1283
andaman-&-nicobar-islands,2018,3,44268112.46425246,south andaman district,13511
andaman-&-nicobar-islands,2018,3,6387829.151558982,nicobars district,1471
andaman-&-nicobar-islands,2018,4,7955635.917688001,north and middle andaman district,2137
andaman-&-nicobar-islands,2018,4,75411840.8018554,south andaman district,20136
andaman-&-nicobar-islands,2018,4,7180859.354911782,nicobars district,1485
andaman-&-nicobar-islands,2019,1,9561708.736298349,north and middle andaman district,3264
andaman-&-nicobar-islands,2019,1,85501972.38780196,south andaman district,25683
andaman-&-nicobar-islands,2019,1,7236059.549389593,nicobars district,1539
andaman-&-nicobar-islands,2019,2,8612103.137888122,north and middle andaman district,3371
andaman-&-nicobar-islands,2019,2,102530955.71341258,south andaman district,28490
andaman-&-nicobar-islands,2019,2,9111650.82436246,nicobars district,1828
andaman-&-nicobar-islands,2019,3,11481466.283356793,north and middle andaman district,4049
andaman-&-nicobar-islands,2019,3,91023888.32848613,south andaman district,27421
andaman-&-nicobar-islands,2019,3,11566421.475451011,nicobars district,2300
andaman-&-nicobar-islands,2019,4,13524056.784573946,north and middle andaman district,4716
andaman-&-nicobar-islands,2019,4,110930312.20611623,south andaman district,27843
andaman-&-nicobar-islands,2019,4,12384161.52668771,nicobars district,2600
andaman-&-nicobar-islands,2020,1,14697371.617857102,north and middle andaman district,5674
andaman-&-nicobar-islands,2020,1,134679396.90582755,south andaman district,32713
andaman-&-nicobar-islands,2020,1,12099543.773590054,nicobars district,2911
andaman-&-nicobar-islands,2020,2,22447714.061058953,north and middle andaman district,10979
andaman-&-nicobar-islands,2020,2,132855778.74838585,south andaman district,48088
andaman-&-nicobar-islands,2020,2,14341508.60470232,nicobars district,3895
andaman-&-nicobar-islands,2020,3,33486883.370425556,north and middle andaman district,16747
andaman-&-nicobar-islands,2020,3,282366109.20523936,south andaman district,95323
andaman-&-nicobar-islands,2020,3,22166453.754695386,nicobars district,5413
andaman-&-nicobar-islands,2020,4,68941322.38839513,north and middle andaman district,29349
andaman-&-nicobar-islands,2020,4,523122462.88302904,south andaman district,186494
andaman-&-nicobar-islands,2020,4,35218871.04342849,nicobars district,8688
andaman-&-nicobar-islands,2021,1,75027255.27919498,north and middle andaman district,27358
andaman-&-nicobar-islands,2021,1,669604045.1248703,south andaman district,207092
andaman-&-nicobar-islands,2021,1,39075266.9856904,nicobars district,10302
andaman-&-nicobar-islands,2021,2,90233388.79463302,north and middle andaman district,39200
andaman-&-nicobar-islands,2021,2,760893020.5704944,south andaman district,286907
andaman-&-nicobar-islands,2021,2,48020606.74716837,nicobars district,15307
andaman-&-nicobar-islands,2021,3,118254865.82750683,north and middle andaman district,46592
andaman-&-nicobar-islands,2021,3,1116789010.6459613,south andaman district,382418
andaman-&-nicobar-islands,2021,3,74980519.3281361,nicobars district,20754
andaman-&-nicobar-islands,2021,4,156486112.28732437,north and middle andaman district,53115
andaman-&-nicobar-islands,2021,4,1694794708.0093334,south andaman district,558571
andaman-&-nicobar-islands,2021,4,81329281.0269996,nicobars district,24437
andaman-&-nicobar-islands,2022,1,161624878.52274162,north and middle andaman district,60059
andaman-&-nicobar-islands,2022,1,1872991195.902684,south andaman district,705512
andaman-&-nicobar-islands,2022,1,94414127.64974089,nicobars district,29177
andaman-&-nicobar-islands,2022,2,195693167.78757268,north and middle andaman district,72573
andaman-&-nicobar-islands,2022,2,2357326563.362071,south andaman district,954875
andaman-&-nicobar-islands,2022,2,132900618.93062323,nicobars district,43769
andaman-&-nicobar-islands,2022,3,211581970.34202656,north and middle andaman district,79574
andaman-&-nicobar-islands,2022,3,2967719400.849909,south andaman district,1455255
andaman-&-nicobar-islands,2022,3,131330400.94545083,nicobars district,49550
andaman-&-nicobar-islands,2022,4,241431284.3558103,north and middle andaman district,93297
andaman-&-nicobar-islands,2022,4,3600887266.099448,south andaman district,1835592
andaman-&-nicobar-islands,2022,4,142355853.97352526,nicobars district,58646
andaman-&-nicobar-islands,2023,1,392080332.0,north and middle andaman district,152187
andaman-&-nicobar-islands,2023,1,3867385426.0,south andaman district,2030078
andaman-&-nicobar-islands,2023,1,202062829.0,nicobars district,94127
andaman-&-nicobar-islands,2023,2,462414675.0,north and middle andaman district,181149
