States,Years,Quarter,Transaction_Type,Transaction_Amount,Transaction_Count
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,1845307.4673655091,4200
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,12138655.299749982,1871
andaman-&-nicobar-islands,2018,1,Merchant payments,452507.168646613,298
andaman-&-nicobar-islands,2018,1,Financial Services,10601.419933464953,33
andaman-&-nicobar-islands,2018,1,Others,184689.8662902223,256
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,2320944.731074479,6735
andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,24511925.231047668,3575
andaman-&-nicobar-islands,2018,2,Merchant payments,1024491.0133579008,603
andaman-&-nicobar-islands,2018,2,Financial Services,121336.0270987509,59
andaman-&-nicobar-islands,2018,2,Others,359838.50537474576,368
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,4343504.868377829,8636
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,49270781.541635044,6448
andaman-&-nicobar-islands,2018,3,Merchant payments,1627359.8394868043,945
andaman-&-nicobar-islands,2018,3,Financial Services,1481.4907042806485,42
andaman-&-nicobar-islands,2018,3,Others,314343.39410715323,194
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,5450549.512294375,11517
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,81001456.97825177,10451
andaman-&-nicobar-islands,2018,4,Merchant payments,3552027.735492656,1421
andaman-&-nicobar-islands,2018,4,Financial Services,76035.7877393286,29
andaman-&-nicobar-islands,2018,4,Others,468266.0606770435,340
andaman-&-nicobar-islands,2019,1,Recharge & bill payments,6611459.8729725825,15263
andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,91808345.86839552,13119
andaman-&-nicobar-islands,2019,1,Merchant payments,3266589.8469614363,1759
andaman-&-nicobar-islands,2019,1,Financial Services,116250.43671861099,62
andaman-&-nicobar-islands,2019,1,Others,497094.6484417205,283
andaman-&-nicobar-islands,2019,2,Recharge & bill payments,7242448.256212333,14676
andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,107525358.66652842,14481
andaman-&-nicobar-islands,2019,2,Merchant payments,4702152.616619372,4031
andaman-&-nicobar-islands,2019,2,Financial Services,113278.91371326067,124
andaman-&-nicobar-islands,2019,2,Others,671471.222589792,377
andaman-&-nicobar-islands,2019,3,Recharge & bill payments,8171737.705916681,16219
andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,101079821.10344616,13767
andaman-&-nicobar-islands,2019,3,Merchant payments,4428734.574846684,3519
andaman-&-nicobar-islands,2019,3,Financial Services,158857.94315586874,50
andaman-&-nicobar-islands,2019,3,Others,232624.75992853564,215
andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,121493224.30754511,18128
andaman-&-nicobar-islands,2019,4,Recharge & bill payments,9538690.916424634,13851
andaman-&-nicobar-islands,2019,4,Merchant payments,5247500.487902376,2920
andaman-&-nicobar-islands,2019,4,Financial Services,295937.2110898865,60
andaman-&-nicobar-islands,2019,4,Others,263177.5944158883,200
andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,142332401.79234773,18324
andaman-&-nicobar-islands,2020,1,Recharge & bill payments,10850414.023977457,18268
andaman-&-nicobar-islands,2020,1,Merchant payments,7752871.558217709,4424
